source,bracket,control,class_code,class_name,precision,recall,f1,iou,support,cells_present,low_support,OA,macro_F1,mean_IoU,kappa,n_cells,total_pixels
spectral_specall,2017_2019,False,1,harvest,0.02155,0.05151,0.03039,0.01543,28653,17,False,0.52101,0.34817,0.2642,0.40383,36,4086351
spectral_specall,2017_2019,False,2,development,0.00777,0.46158,0.01528,0.0077,5063,13,False,0.52101,0.34817,0.2642,0.40383,36,4086351
spectral_specall,2017_2019,False,3,forest,0.84176,0.59823,0.6994,0.53775,1863175,35,False,0.52101,0.34817,0.2642,0.40383,36,4086351
spectral_specall,2017_2019,False,4,urban,0.57826,0.69135,0.62977,0.45961,155479,35,False,0.52101,0.34817,0.2642,0.40383,36,4086351
spectral_specall,2017_2019,False,5,water,0.94057,0.94523,0.94289,0.89196,375577,30,False,0.52101,0.34817,0.2642,0.40383,36,4086351
spectral_specall,2017_2019,False,6,ag,0.72922,0.38262,0.50189,0.33502,651631,21,False,0.52101,0.34817,0.2642,0.40383,36,4086351
spectral_specall,2017_2019,False,7,grass_shrub,0.29616,0.26251,0.27832,0.16166,443826,31,False,0.52101,0.34817,0.2642,0.40383,36,4086351
spectral_specall,2017_2019,False,8,wetland,0.41481,0.3276,0.36609,0.22405,543037,31,False,0.52101,0.34817,0.2642,0.40383,36,4086351
spectral_specall,2017_2019,False,9,beaver,0.00167,0.10877,0.00329,0.00165,1425,7,False,0.52101,0.34817,0.2642,0.40383,36,4086351
spectral_specall,2017_2019,False,10,insect_disease,0.0074,0.22921,0.01434,0.00722,18485,7,False,0.52101,0.34817,0.2642,0.40383,36,4086351
spectral_specall,2018_2020,True,1,harvest,0.25603,0.21165,0.23174,0.13105,74017,18,False,0.69274,0.39019,0.30389,0.56039,36,4084676
spectral_specall,2018_2020,True,2,development,0.00208,0.11869,0.00408,0.00204,1643,9,False,0.69274,0.39019,0.30389,0.56039,36,4084676
spectral_specall,2018_2020,True,3,forest,0.86999,0.82076,0.84466,0.73109,2074545,36,False,0.69274,0.39019,0.30389,0.56039,36,4084676
spectral_specall,2018_2020,True,4,urban,0.34803,0.46349,0.39755,0.24809,106209,36,False,0.69274,0.39019,0.30389,0.56039,36,4084676
spectral_specall,2018_2020,True,5,water,0.93951,0.94387,0.94169,0.8898,229008,28,False,0.69274,0.39019,0.30389,0.56039,36,4084676
spectral_specall,2018_2020,True,6,ag,0.85857,0.67115,0.75338,0.60434,971111,21,False,0.69274,0.39019,0.30389,0.56039,36,4084676
spectral_specall,2018_2020,True,7,grass_shrub,0.30396,0.36159,0.33028,0.19781,252292,31,False,0.69274,0.39019,0.30389,0.56039,36,4084676
spectral_specall,2018_2020,True,8,wetland,0.46305,0.26779,0.33934,0.20434,353361,23,False,0.69274,0.39019,0.30389,0.56039,36,4084676
spectral_specall,2018_2020,True,9,beaver,0.00215,0.05007,0.00413,0.00207,2976,7,False,0.69274,0.39019,0.30389,0.56039,36,4084676
spectral_specall,2018_2020,True,10,insect_disease,0.02953,0.40566,0.05505,0.0283,19514,12,False,0.69274,0.39019,0.30389,0.56039,36,4084676
spectral_specall,2019_2021,False,1,harvest,0.02882,0.08271,0.04275,0.02184,22366,18,False,0.54751,0.35068,0.2631,0.42982,34,3745032
spectral_specall,2019_2021,False,2,development,0.00102,0.1967,0.00203,0.00102,1454,11,False,0.54751,0.35068,0.2631,0.42982,34,3745032
spectral_specall,2019_2021,False,3,forest,0.94773,0.59639,0.73209,0.5774,1906291,33,False,0.54751,0.35068,0.2631,0.42982,34,3745032
spectral_specall,2019_2021,False,4,urban,0.34526,0.5327,0.41897,0.265,142507,34,False,0.54751,0.35068,0.2631,0.42982,34,3745032
spectral_specall,2019_2021,False,5,water,0.92952,0.92901,0.92926,0.86788,295491,33,False,0.54751,0.35068,0.2631,0.42982,34,3745032
spectral_specall,2019_2021,False,6,ag,0.72527,0.4711,0.57118,0.39976,552651,18,False,0.54751,0.35068,0.2631,0.42982,34,3745032
spectral_specall,2019_2021,False,7,grass_shrub,0.36111,0.34513,0.35294,0.21428,374372,29,False,0.54751,0.35068,0.2631,0.42982,34,3745032
spectral_specall,2019_2021,False,8,wetland,0.47334,0.37135,0.41619,0.26278,436649,26,False,0.54751,0.35068,0.2631,0.42982,34,3745032
spectral_specall,2019_2021,False,9,beaver,0.0014,0.19833,0.00277,0.00139,1200,6,False,0.54751,0.35068,0.2631,0.42982,34,3745032
spectral_specall,2019_2021,False,10,insect_disease,0.01981,0.75006,0.03859,0.01968,12051,7,False,0.54751,0.35068,0.2631,0.42982,34,3745032
spectral_specall,2020_2022,False,1,harvest,0.11,0.17451,0.13494,0.07235,58067,18,False,0.65868,0.36755,0.28638,0.5245,32,3493756
spectral_specall,2020_2022,False,2,development,0.004,0.33463,0.00791,0.00397,774,11,False,0.65868,0.36755,0.28638,0.5245,32,3493756
spectral_specall,2020_2022,False,3,forest,0.8999,0.75196,0.81931,0.69392,1881090,31,False,0.65868,0.36755,0.28638,0.5245,32,3493756
spectral_specall,2020_2022,False,4,urban,0.34327,0.3018,0.3212,0.19133,98445,32,False,0.65868,0.36755,0.28638,0.5245,32,3493756
spectral_specall,2020_2022,False,5,water,0.97159,0.97588,0.97373,0.9488,375128,25,False,0.65868,0.36755,0.28638,0.5245,32,3493756
spectral_specall,2020_2022,False,6,ag,0.74154,0.57692,0.64895,0.48033,419690,17,False,0.65868,0.36755,0.28638,0.5245,32,3493756
spectral_specall,2020_2022,False,7,grass_shrub,0.36789,0.4908,0.42055,0.26626,297003,29,False,0.65868,0.36755,0.28638,0.5245,32,3493756
spectral_specall,2020_2022,False,8,wetland,0.43546,0.26363,0.32843,0.19648,347555,24,False,0.65868,0.36755,0.28638,0.5245,32,3493756
spectral_specall,2020_2022,False,9,beaver,0.00888,0.38754,0.01735,0.00875,1396,5,False,0.65868,0.36755,0.28638,0.5245,32,3493756
spectral_specall,2020_2022,False,10,insect_disease,0.00166,0.03498,0.00317,0.00159,14608,5,False,0.65868,0.36755,0.28638,0.5245,32,3493756
spectral_specall,2021_2023,False,1,harvest,0.02288,0.18185,0.04065,0.02074,18427,9,False,0.51336,0.32568,0.23997,0.38491,30,3346244
spectral_specall,2021_2023,False,2,development,0.00305,0.43304,0.00605,0.00304,3487,10,False,0.51336,0.32568,0.23997,0.38491,30,3346244
spectral_specall,2021_2023,False,3,forest,0.94964,0.58665,0.72526,0.56895,1766330,30,False,0.51336,0.32568,0.23997,0.38491,30,3346244
spectral_specall,2021_2023,False,4,urban,0.32562,0.62342,0.4278,0.2721,126025,30,False,0.51336,0.32568,0.23997,0.38491,30,3346244
spectral_specall,2021_2023,False,5,water,0.87927,0.89309,0.88613,0.79554,215283,22,False,0.51336,0.32568,0.23997,0.38491,30,3346244
spectral_specall,2021_2023,False,6,ag,0.68404,0.39439,0.50031,0.33361,491795,18,False,0.51336,0.32568,0.23997,0.38491,30,3346244
spectral_specall,2021_2023,False,7,grass_shrub,0.3206,0.23952,0.27419,0.15888,317958,28,False,0.51336,0.32568,0.23997,0.38491,30,3346244
spectral_specall,2021_2023,False,8,wetland,0.48308,0.3345,0.39529,0.24633,405683,24,False,0.51336,0.32568,0.23997,0.38491,30,3346244
spectral_specall,2021_2023,False,9,beaver,0.00024,0.02703,0.00047,0.00024,925,5,False,0.51336,0.32568,0.23997,0.38491,30,3346244
spectral_specall,2021_2023,False,10,insect_disease,0.00031,0.22961,0.00062,0.00031,331,3,True,0.51336,0.32568,0.23997,0.38491,30,3346244
spectral_specall,pooled,False,1,harvest,0.0751,0.16115,0.10246,0.05399,201530,80,False,0.58798,0.36237,0.27531,0.46054,168,18756059
spectral_specall,pooled,False,2,development,0.00371,0.36929,0.00735,0.00369,12421,54,False,0.58798,0.36237,0.27531,0.46054,168,18756059
spectral_specall,pooled,False,3,forest,0.89656,0.67481,0.77004,0.62607,9491431,165,False,0.58798,0.36237,0.27531,0.46054,168,18756059
spectral_specall,pooled,False,4,urban,0.3896,0.54227,0.45343,0.29318,628665,167,False,0.58798,0.36237,0.27531,0.46054,168,18756059
spectral_specall,pooled,False,5,water,0.93708,0.94199,0.93953,0.88595,1490487,138,False,0.58798,0.36237,0.27531,0.46054,168,18756059
spectral_specall,pooled,False,6,ag,0.77172,0.51752,0.61956,0.44882,3086878,95,False,0.58798,0.36237,0.27531,0.46054,168,18756059
spectral_specall,pooled,False,7,grass_shrub,0.33165,0.33158,0.33162,0.19877,1685451,148,False,0.58798,0.36237,0.27531,0.46054,168,18756059
spectral_specall,pooled,False,8,wetland,0.45123,0.31731,0.3726,0.22896,2086285,128,False,0.58798,0.36237,0.27531,0.46054,168,18756059
spectral_specall,pooled,False,9,beaver,0.00222,0.13986,0.00438,0.00219,7922,30,False,0.58798,0.36237,0.27531,0.46054,168,18756059
spectral_specall,pooled,False,10,insect_disease,0.01177,0.33512,0.02274,0.0115,64989,34,False,0.58798,0.36237,0.27531,0.46054,168,18756059
